fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
,,,,1,,,,,,,,triangle_1,0,0.0,0.0,,,
,,,,1,,,7.771561172376075e-16,1.9229626863835546e-15,,,,triangle_1,1,1.0,6.533188080748106e-17,,,
"Constant(0.5076599700424522, 1)","Constant(0.36413019764103527, 1)",4.924358257816887e-07,2.0675043335432482e-09,1,0.9999985300875327,1.1916253204625872e-06,0.9999999999999964,-0.999999999999996,20.31450065221612,0.0008638384200956023,0.0006130047284158453,triangle_1,2,0.5000000000000002,0.8660254037844387,2.984867264133051e-06,2.004132250987833e-06,-5.042863908063783
"Periodic(0.5143571904574558, 0.040811681003709244, 1, 1)","Plus(Constant(0.21047863378632903, 1), SquaredExponential(0.4718144293075496, 2, 1), 3)",0.3001720369444144,1.1623220919400701e-08,1,0.7428857816924846,0.4330127018922196,-6.661338147750939e-16,0.9999999999999944,-3.409675744718694,0.49450177706673815,0.15538340858846428,triangle_1,3,-1.665334536937719e-16,4.0185035092460646e-16,0.9781280300886426,0.1287680195443701,-1165439.9994904152
"Periodic(0.7157803314258588, 0.8544082484503606, 3, 1)","SquaredExponential(0.07606840202133125, 2, 1)",0.4688965835020741,1.2308060070910585e-07,1,0.6757081739694408,3.855161637706089e-07,-0.9999999999999988,-0.9999999999999952,-5.2975543013020605,0.404897483495533,0.0006489645439044844,triangle_1,4,0.9999999999999997,6.533188080748106e-17,0.6557678885640582,2.246159889307542e-06,-1165445.812830199
"Plus(Periodic(0.41462895643140085, 0.938518495108129, 3, 1), Linear(0.6033811150104901, 2, 1), 3)","Plus(SquaredExponential(0.610890431916004, 2, 1), Times(Times(SquaredExponential(0.049154829751671826, 2, 1), Constant(0.7939399621088952, 1), 3), Constant(0.7963952394441067, 1), 5), 7)",6.507698449822179e-08,3.137526196926255e-07,1,0.49999998815847896,0.8660246658250198,0.9999999999999956,-0.999999999999996,2.713500091824001,0.000729752050880352,0.0007018952605420965,triangle_1,5,0.5000000000000006,0.8660254037844393,2.130152223056569e-06,2.6275037694478698e-06,-1165441.2573280546
"SquaredExponential(0.09412591779141183, 2, 1)","Times(Periodic(0.18610785276611974, 0.3834781383918192, 2, 1), Plus(Constant(0.17875159924526093, 1), Constant(0.9350493017059143, 1), 3), 5)",8.320573433450303e-10,7.285705122733501e-09,1,7.351215109974182e-07,3.916515285682345e-07,0.0,0.9999999999999956,32.32547876010425,0.0007074006910182518,0.0006145990306998244,triangle_1,6,-7.771561172376096e-16,1.4594798284355715e-15,2.0016629506125483e-06,2.014570498864998e-06,-1165430.1408089667
"Times(Periodic(0.5599644314838806, 0.5717967444914901, 3, 1), SquaredExponential(0.8831570858519773, 2, 1), 3)","SquaredExponential(0.35976148544371384, 2, 1)",2.9958435842597905e-12,5.4886261779468775e-08,1,0.9999996050404939,-3.3898843091594677e-07,-1.0,-0.9999999999999928,48.44610980569344,0.0006123732772130516,0.000544689473365023,triangle_1,7,0.9999999999999992,-8.000013280651269e-16,1.5000041225787797e-06,1.5823286527716365e-06,-1165418.8603683838
"Periodic(0.11459084213508942, 0.7897138383434722, 2, 1)","Plus(SquaredExponential(0.7249919740103873, 2, 1), Plus(SquaredExponential(0.11581184342359153, 3, 1), Times(Constant(0.5543536818372639, 1), Linear(0.744464628576465, 3, 1), 3), 5), 7)",1.1084611508909887e-11,3.470616963302244e-11,1,0.49999999798873146,0.8660249468815525,0.9999999999999948,-0.999999999999998,56.816096778268175,0.0006123757785821516,0.0005303392378384091,triangle_1,8,0.5000000000000018,0.8660254037844394,1.5000163767764365e-06,1.500051771685662e-06,-1165407.3149180186
"Periodic(0.3467809966431195, 0.27707238327795203, 2, 1)","Periodic(0.3816791491049654, 0.3814213785289828, 2, 1)",2.844251905592649e-13,5.1918216166426444e-09,1,2.6717899831441085e-07,2.2142273565865674e-07,2.4424906541753444e-15,0.999999999999996,82.11997726802434,0.0006123724712731016,0.0005317049479008756,triangle_1,9,2.2204460492503407e-16,1.6037020299143396e-15,1.5000001742926372e-06,1.507787475318878e-06,-1165395.7427727224
"Periodic(0.009347640731225664, 0.3682197020503064, 2, 1)","SquaredExponential(0.1466721689134866, 2, 1)",2.961596529648389e-10,6.424087007669517e-08,1,0.9999998332840286,6.099493473614471e-08,-0.999999999999998,-0.9999999999999925,85.33132563098766,0.0005774357327308515,0.0005158102245154415,triangle_1,10,1.0,9.306650896800892e-16,1.3337281017378189e-06,1.4189876678116775e-06,-1165384.173193689
"Times(Periodic(0.12622685720025528, 0.44095424123202165, 3, 1), Periodic(0.9303949137595894, 0.07955615342614865, 2, 1), 3)","Plus(SquaredExponential(0.2334389236697865, 2, 1), SquaredExponential(0.2991999213468179, 3, 1), 3)",2.2232620512320533e-11,9.913590826578144e-11,1,0.5000004280079906,0.8660252180667698,0.9999999999999964,-0.999999999999994,94.25412602540986,0.0005773566122077015,0.0005000247674424464,triangle_1,11,0.4999999999999999,0.8660254037844394,1.3333626306399893e-06,1.3334654296315307e-06,-1165372.5145211522
"Periodic(0.11051716876138501, 0.459230927585886, 2, 1)","Periodic(0.10511586120438202, 0.3439590825892124, 2, 1)",8.980456091533102e-15,6.670056723332219e-28,1,1.8215177710612144e-07,2.384830299528776e-07,-1.3322676295501878e-15,0.999999999999996,159.54669908997377,0.0005773502474524015,0.0004999999655624799,triangle_1,12,1.2212453270876777e-15,6.533188080748106e-17,1.333333232933498e-06,1.333333149666771e-06,-1165360.824630597
"Periodic(0.4189341127637192, 0.6254244376816676, 2, 1)","SquaredExponential(0.010907651080663569, 2, 1)",3.8135898022187204e-10,1.1629033757839473e-12,1,0.9999998331109892,1.0825213282700195e-07,-0.999999999999996,-0.999999999999996,130.17804589407052,0.0005591235597706515,0.00048412318769686785,triangle_1,13,1.0000000000000009,2.565183373106126e-15,1.250476620362484e-06,1.2500013912841723e-06,-1165349.1346792346
"Plus(Periodic(0.4781646673408445, 0.31267454998226374, 3, 1), Linear(0.9162415159018011, 2, 1), 3)","Times(Times(Constant(0.8249385180919859, 1), Plus(Plus(Periodic(0.43381244879588216, 0.24800479189598307, 3, 1), Constant(0.47117792224274674, 1), 3), SquaredExponential(0.0030337965003631256, 2, 1), 5), 7), SquaredExponential(0.2352841923261722, 3, 1), 9)",3.3981554328783074e-08,2.1519052119793554e-13,1,0.5000001715461858,0.8660252703224649,0.9999999999999982,-0.9999999999999902,115.14338094719749,0.0005684357516261015,0.0004841229610934834,triangle_1,14,0.4999999999999979,0.8660254037844394,1.292476814906962e-06,1.2500002211091044e-06,-1165337.3803805322
"Plus(SquaredExponential(0.008855639358876535, 2, 1), Constant(0.8507177920353981, 1), 3)","Periodic(0.2536781775695091, 0.08862035130408806, 2, 1)",5.876109234136589e-11,7.091627754215033e-11,1,1.2500743024057605e-07,1.1006728691792865e-07,-5.3290705182007506e-15,0.999999999999996,147.19982771119217,0.0005590334077951515,0.0004841400717563291,triangle_1,15,1.9984014443252893e-15,-1.6653345369377348e-15,1.2500734041243078e-06,1.2500885817612328e-06,-1165325.642599183
"Periodic(0.42882161252083006, 0.06580093781921187, 2, 1)","Periodic(0.8810419481445947, 0.2639689473814896, 2, 1)",1.7885334445758083e-10,1.3656093169210984e-10,1,0.9999998083545121,1.9402886299877376e-08,-0.9999999999999944,-1.0,160.29052834089794,0.0005477715246682014,0.00047437402226627835,triangle_1,16,1.0000000000000018,4.199701656532163e-15,1.2002145729494984e-06,1.200163802672627e-06,-1165313.8881740856
"SquaredExponential(0.13144337594122557, 2, 1)","Periodic(0.1620466463958337, 0.8223862677790166, 2, 1)",1.1465807847734677e-07,7.673148072310187e-11,1,0.49999992048975334,0.8660253092195186,1.0,-0.9999999999999865,167.05296695990478,0.0005782710511728016,0.0004743598391452823,triangle_1,17,0.499999999999999,0.8660254037844412,1.3375896344980376e-06,1.2000920373012036e-06,-1165302.0930198568
"Periodic(0.07207095080883745, 0.15608441264283013, 2, 1)","Periodic(0.623131492668656, 0.5901971721746611, 2, 1)",3.7841338902515746e-09,7.616556905497921e-10,1,1.0037868980461466e-07,1.065551825793703e-07,-3.1086244689504387e-15,1.0,180.8966697505456,0.0005487578974898514,0.00047452224740700635,triangle_1,18,-1.665334536937719e-16,1.9882945671910546e-15,1.204540920229924e-06,1.2009139375157574e-06,-1165290.3520201277
"Plus(Periodic(0.061271899796321715, 0.7845374632086058, 2, 1), Constant(0.9927002941430518, 1), 3)","Periodic(0.22160633016642375, 0.7237029281974192, 2, 1)",2.3290808791029915e-10,1.0305191602389532e-13,1,0.999999916642189,8.138632046844042e-08,-0.9999999999999988,-0.9999999999999916,198.81001722702945,0.0005401246087553514,0.00046770719176119756,triangle_1,19,0.9999999999999997,5.941466195629638e-16,1.166938371932602e-06,1.1666667585341628e-06,-1165278.5589773762
"Plus(Plus(Linear(0.39296405429401104, 3, 1), Periodic(0.5654627380546406, 0.092618010731709, 3, 1), 3), Linear(0.7070120059874564, 2, 1), 5)","SquaredExponential(0.004741959401779502, 2, 1)",3.3070578752888805e-08,6.347643351447488e-10,1,0.5000000881047019,0.8660253315698577,0.9999999999999956,-0.9999999999999948,192.48579623760932,0.0005489191572656014,0.0004678555861632132,triangle_1,20,0.5000000000000031,0.8660254037844412,1.2052489648528564e-06,1.16740719735553e-06,-1165266.7356110625
